
Node_BOS/FER

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable1/0-downstream1;;37;33.42;0.03;11.9;73.17;6;0;0
Integrated-Cable1/0-downstream0;;37;36.73;1.03;25.76;99.09;516;264;1320
Integrated-Cable1/0-downstream3;;37;36.14;0.12;17.04;92.36;113;6;30
Integrated-Cable1/0-downstream2;;37;28.9;0.15;11.61;69.58;0;0;0


Node_CDL/GOI

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable2/1-downstream3;;37;5.25;0.0;0.73;10.89;0;0;0
Integrated-Cable2/1-downstream2;;37;7.19;0.0;0.98;14.49;0;0;0
Integrated-Cable2/1-downstream1;;37;10.79;0.0;1.68;19.76;0;0;0
Integrated-Cable2/1-downstream0;;37;14.58;0.01;3.84;30.03;0;0;0


Node_IND/CEN

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable1/0-downstream1;;37;20.75;0.01;5.23;42.6;0;0;0
Integrated-Cable1/0-downstream0;;37;36.63;0.86;21.11;97.62;259;44;220
Integrated-Cable1/0-downstream3;;37;30.72;0.03;11.24;66.69;1;0;0
Integrated-Cable1/0-downstream2;;37;14.8;0.01;4.5;33.39;0;0;0


Node_JRE/MAT

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable1/1-downstream0;;37;36.49;0.22;16.14;88.31;56;2;10
Integrated-Cable1/1-downstream1;;37;21.22;0.03;6.31;49.4;0;0;0
Integrated-Cable1/1-downstream2;;37;24.37;0.03;7.33;51.88;0;0;0
Integrated-Cable1/1-downstream3;;37;26.43;0.03;9.34;65.15;0;0;0


Node_PAR/AERO

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable2/0-downstream2;;37;26.67;0.02;6.28;44.61;0;0;0
Integrated-Cable2/0-downstream3;;37;36.64;0.16;17.35;97.55;157;38;190
Integrated-Cable2/0-downstream0;;37;37.0;1.22;25.4;99.21;514;308;1540
Integrated-Cable2/0-downstream1;;37;30.09;0.09;11.01;70.43;2;0;0


Node_ROS/MIR

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable1/1-downstream0;;37;36.25;0.15;14.11;86.43;25;3;15
Integrated-Cable1/1-downstream1;;37;36.47;0.62;16.85;94.01;87;7;35
Integrated-Cable1/1-downstream2;;37;34.68;0.39;13.85;82.68;20;0;0
Integrated-Cable1/1-downstream3;;37;35.3;0.05;13.76;84.47;27;1;5


Node_STH/HEAD

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable2/1-downstream3;;37;34.28;0.12;12.43;81.65;14;0;0
Integrated-Cable2/1-downstream2;;37;21.68;0.02;6.42;46.99;0;0;0
Integrated-Cable2/1-downstream1;;37;29.95;0.03;8.61;61.27;1;0;0
Integrated-Cable2/1-downstream0;;37;36.98;0.97;25.51;99.46;486;231;1155


Node_STT/EDU

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable2/0-downstream2;;37;21.99;0.02;6.89;48.52;0;0;0
Integrated-Cable2/0-downstream3;;37;32.42;0.12;13.31;77.27;9;0;0
Integrated-Cable2/0-downstream0;;37;36.57;0.16;20.17;98.56;252;80;400
Integrated-Cable2/0-downstream1;;37;28.43;0.12;9.71;67.48;0;0;0

