
Node_BOS/FER

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable1/0-downstream1;;37;34.62;0.03;12.31;77.85;7;0;0
Integrated-Cable1/0-downstream0;;37;37.21;0.88;25.35;99.08;506;245;1225
Integrated-Cable1/0-downstream3;;37;35.43;0.14;16.72;91.76;91;2;10
Integrated-Cable1/0-downstream2;;37;27.01;0.13;9.93;58.66;0;0;0


Node_CDL/GOI

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable2/1-downstream3;;37;5.26;0.0;0.8;10.42;0;0;0
Integrated-Cable2/1-downstream2;;37;8.52;0.0;1.15;17.46;0;0;0
Integrated-Cable2/1-downstream1;;37;11.39;0.0;1.78;20.18;0;0;0
Integrated-Cable2/1-downstream0;;37;14.68;0.01;4.49;33.96;0;0;0


Node_IND/CEN

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable1/0-downstream1;;37;18.14;0.01;4.76;38.11;0;0;0
Integrated-Cable1/0-downstream0;;37;36.49;0.79;19.38;97.1;206;32;160
Integrated-Cable1/0-downstream3;;37;24.08;0.05;8.64;55.94;0;0;0
Integrated-Cable1/0-downstream2;;37;18.1;0.02;4.33;34.15;0;0;0


Node_JRE/MAT

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable1/1-downstream0;;37;36.5;0.22;15.97;94.7;81;9;45
Integrated-Cable1/1-downstream1;;37;24.01;0.03;6.14;45.49;0;0;0
Integrated-Cable1/1-downstream2;;37;21.58;0.03;8.21;49.47;0;0;0
Integrated-Cable1/1-downstream3;;37;32.5;0.08;10.91;69.9;1;0;0


Node_PAR/AERO

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable2/0-downstream2;;37;19.35;0.02;6.05;43.98;0;0;0
Integrated-Cable2/0-downstream3;;37;36.72;0.15;19.14;98.38;231;48;240
Integrated-Cable2/0-downstream0;;37;36.74;1.23;24.88;99.13;489;221;1105
Integrated-Cable2/0-downstream1;;37;25.91;0.03;9.92;58.98;0;0;0


Node_ROS/MIR

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable1/1-downstream0;;37;32.97;0.1;12.11;77.03;6;0;0
Integrated-Cable1/1-downstream1;;37;36.61;0.15;19.78;96.74;189;23;115
Integrated-Cable1/1-downstream2;;37;31.6;0.03;14.13;78.41;8;0;0
Integrated-Cable1/1-downstream3;;37;35.25;0.1;15.31;91.34;66;1;5


Node_STH/HEAD

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable2/1-downstream3;;37;34.2;0.17;12.51;81.98;16;0;0
Integrated-Cable2/1-downstream2;;37;18.6;0.01;5.81;40.06;0;0;0
Integrated-Cable2/1-downstream1;;37;25.65;0.05;8.11;56.78;0;0;0
Integrated-Cable2/1-downstream0;;37;37.03;0.61;23.55;99.71;414;235;1175


Node_STT/EDU

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable2/0-downstream2;;37;20.16;0.02;6.87;48.79;0;0;0
Integrated-Cable2/0-downstream3;;37;34.14;0.04;14.21;85.78;23;0;0
Integrated-Cable2/0-downstream0;;37;36.83;0.15;20.67;98.58;261;78;390
Integrated-Cable2/0-downstream1;;37;28.11;0.06;8.55;62.15;0;0;0

