
Node_APA-01

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable7/1/0-downstream20;RFGW10-Channel_7/1.21;37;26.58;0.49;12.22;62.85;0;0;0
Modular-Cable7/1/0-downstream21;RFGW10-Channel_7/1.22;37;26.56;0.5;12.24;62.23;0;0;0
Modular-Cable7/1/0-downstream22;RFGW10-Channel_7/1.23;37;27.0;0.5;12.23;62.02;0;0;0
Modular-Cable7/1/0-downstream23;RFGW10-Channel_7/1.24;37;26.87;0.49;12.23;62.28;0;0;0
Modular-Cable7/1/0-downstream9;RFGW10-Channel_7/1.10;37;27.36;1.23;12.12;67.1;0;0;0
Modular-Cable7/1/0-downstream8;RFGW10-Channel_7/1.9;37;27.36;1.23;12.14;67.52;0;0;0
Modular-Cable7/1/0-downstream5;RFGW10-Channel_7/1.6;37;30.0;0.92;12.56;71.02;1;0;0
Modular-Cable7/1/0-downstream4;RFGW10-Channel_7/1.5;37;30.25;0.93;12.58;71.11;1;0;0
Modular-Cable7/1/0-downstream7;RFGW10-Channel_7/1.8;37;30.08;0.92;12.55;70.95;1;0;0
Modular-Cable7/1/0-downstream6;RFGW10-Channel_7/1.7;37;30.24;0.93;12.57;71.17;1;0;0
Modular-Cable7/1/0-downstream1;RFGW10-Channel_7/1.11;37;30.05;0.95;12.7;71.31;1;0;0
Modular-Cable7/1/0-downstream0;RFGW10-Channel_7/1.1;37;30.13;0.94;12.68;70.83;1;0;0
Modular-Cable7/1/0-downstream3;RFGW10-Channel_7/1.4;37;30.09;0.94;12.6;71.09;1;0;0
Modular-Cable7/1/0-downstream2;RFGW10-Channel_7/1.21;37;30.1;1.0;12.64;71.22;1;0;0
Modular-Cable7/1/0-downstream19;RFGW10-Channel_7/1.20;37;26.88;0.49;12.21;62.05;0;0;0
Modular-Cable7/1/0-downstream18;RFGW10-Channel_7/1.19;37;26.97;0.49;12.27;62.15;0;0;0
Modular-Cable7/1/0-downstream11;RFGW10-Channel_7/1.12;37;27.37;1.23;12.1;66.9;0;0;0
Modular-Cable7/1/0-downstream10;RFGW10-Channel_7/1.11;37;27.44;1.2;12.1;66.97;0;0;0
Modular-Cable7/1/0-downstream13;RFGW10-Channel_7/1.14;37;27.43;1.23;12.11;67.56;0;0;0
Modular-Cable7/1/0-downstream12;RFGW10-Channel_7/1.13;37;27.43;1.2;12.11;67.49;0;0;0
Modular-Cable7/1/0-downstream15;RFGW10-Channel_7/1.16;37;27.46;1.26;12.22;67.32;0;0;0
Modular-Cable7/1/0-downstream14;RFGW10-Channel_7/1.15;37;27.47;1.23;12.12;67.24;0;0;0
Modular-Cable7/1/0-downstream17;RFGW10-Channel_7/1.18;37;26.87;0.5;12.22;62.24;0;0;0
