
Node_APA-01

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable7/1/0-downstream20;RFGW10-Channel_7/1.21;37;26.72;0.48;13.2;67.41;0;0;0
Modular-Cable7/1/0-downstream21;RFGW10-Channel_7/1.22;37;26.49;0.49;12.96;66.45;0;0;0
Modular-Cable7/1/0-downstream22;RFGW10-Channel_7/1.23;37;26.25;0.49;13.04;66.53;0;0;0
Modular-Cable7/1/0-downstream23;RFGW10-Channel_7/1.24;37;26.58;0.49;13.02;66.37;0;0;0
Modular-Cable7/1/0-downstream9;RFGW10-Channel_7/1.10;37;30.04;0.56;12.4;65.11;1;0;0
Modular-Cable7/1/0-downstream8;RFGW10-Channel_7/1.9;37;29.76;0.56;12.28;64.7;1;0;0
Modular-Cable7/1/0-downstream5;RFGW10-Channel_7/1.6;37;27.11;0.83;12.79;67.53;0;0;0
Modular-Cable7/1/0-downstream4;RFGW10-Channel_7/1.5;37;27.08;0.84;12.85;67.34;0;0;0
Modular-Cable7/1/0-downstream7;RFGW10-Channel_7/1.8;37;27.15;0.82;12.79;67.2;0;0;0
Modular-Cable7/1/0-downstream6;RFGW10-Channel_7/1.7;37;27.08;0.82;12.79;68.25;0;0;0
Modular-Cable7/1/0-downstream1;RFGW10-Channel_7/1.11;37;27.07;0.84;13.01;67.59;0;0;0
Modular-Cable7/1/0-downstream0;RFGW10-Channel_7/1.1;37;27.2;0.84;13.05;67.59;0;0;0
Modular-Cable7/1/0-downstream3;RFGW10-Channel_7/1.4;37;27.03;0.84;12.79;67.58;0;0;0
Modular-Cable7/1/0-downstream2;RFGW10-Channel_7/1.21;37;27.17;0.84;12.8;67.07;0;0;0
Modular-Cable7/1/0-downstream19;RFGW10-Channel_7/1.20;37;26.61;0.49;12.95;66.53;0;0;0
Modular-Cable7/1/0-downstream18;RFGW10-Channel_7/1.19;37;26.6;0.48;12.95;66.35;0;0;0
Modular-Cable7/1/0-downstream11;RFGW10-Channel_7/1.12;37;29.79;0.57;12.29;64.94;1;0;0
Modular-Cable7/1/0-downstream10;RFGW10-Channel_7/1.11;37;29.78;0.56;12.55;64.95;1;0;0
Modular-Cable7/1/0-downstream13;RFGW10-Channel_7/1.14;37;29.77;0.56;12.34;64.74;1;0;0
Modular-Cable7/1/0-downstream12;RFGW10-Channel_7/1.13;37;29.78;0.56;12.34;67.67;1;0;0
Modular-Cable7/1/0-downstream15;RFGW10-Channel_7/1.16;37;29.79;0.56;12.6;65.31;1;0;0
Modular-Cable7/1/0-downstream14;RFGW10-Channel_7/1.15;37;29.79;0.56;12.32;65.03;1;0;0
Modular-Cable7/1/0-downstream17;RFGW10-Channel_7/1.18;37;26.45;0.48;13.0;66.43;0;0;0
Modular-Cable7/1/0-downstream16;RFGW10-Channel_7/1.17;37;26.59;0.58;13.21;67.1;0;0;0


Node_APA-02

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable7/1/2-downstream22;RFGW10-Channel_7/2.23;37;28.01;0.93;14.13;71.74;0;0;0
Modular-Cable7/1/2-downstream23;RFGW10-Channel_7/2.24;37;27.7;0.93;14.35;71.58;0;0;0
Modular-Cable7/1/2-downstream20;RFGW10-Channel_7/2.21;37;27.71;0.93;14.13;71.56;0;0;0
Modular-Cable7/1/2-downstream21;RFGW10-Channel_7/2.22;37;27.98;0.93;14.15;71.84;0;0;0
Modular-Cable7/1/2-downstream9;RFGW10-Channel_7/2.10;37;29.47;0.79;14.11;72.6;0;0;0
Modular-Cable7/1/2-downstream8;RFGW10-Channel_7/2.9;37;29.34;0.79;14.14;72.66;0;0;0
Modular-Cable7/1/2-downstream7;RFGW10-Channel_7/2.8;37;28.55;0.24;14.22;69.86;0;0;0
Modular-Cable7/1/2-downstream6;RFGW10-Channel_7/2.7;37;28.76;0.25;14.23;69.89;0;0;0
Modular-Cable7/1/2-downstream5;RFGW10-Channel_7/2.6;37;28.61;0.25;14.21;69.97;0;0;0
Modular-Cable7/1/2-downstream4;RFGW10-Channel_7/2.5;37;28.72;0.25;14.25;69.94;0;0;0
Modular-Cable7/1/2-downstream3;RFGW10-Channel_7/2.4;37;28.6;0.25;14.28;70.31;0;0;0
Modular-Cable7/1/2-downstream2;RFGW10-Channel_7/2.21;37;28.56;0.24;14.36;70.63;0;0;0
Modular-Cable7/1/2-downstream1;RFGW10-Channel_7/2.11;37;28.6;0.25;14.37;70.3;0;0;0
Modular-Cable7/1/2-downstream0;RFGW10-Channel_7/2.1;37;28.76;0.26;14.47;70.43;0;0;0
Modular-Cable7/1/2-downstream19;RFGW10-Channel_7/2.20;37;27.81;0.93;14.19;71.84;0;0;0
Modular-Cable7/1/2-downstream18;RFGW10-Channel_7/2.19;37;27.69;0.94;14.13;71.63;0;0;0
Modular-Cable7/1/2-downstream17;RFGW10-Channel_7/2.18;37;27.7;0.93;14.19;71.84;0;0;0
Modular-Cable7/1/2-downstream16;RFGW10-Channel_7/2.17;37;28.01;0.94;14.25;71.77;0;0;0
Modular-Cable7/1/2-downstream15;RFGW10-Channel_7/2.16;37;29.28;0.79;14.29;72.64;0;0;0
Modular-Cable7/1/2-downstream14;RFGW10-Channel_7/2.15;37;29.28;0.79;14.13;72.39;0;0;0
Modular-Cable7/1/2-downstream13;RFGW10-Channel_7/2.14;37;29.26;0.78;14.12;71.93;0;0;0
